wbn,pid,bs,bag_oc,bag_cn,cs_ss,cs_st,cs_sd,cs_ud,location
1660257078010,BAG229180974,BAG229180974,Bhavnagar_Chitra_I (Gujarat),Bhavnagar_Dc (Gujarat),Complete,,2020-12-10 07:33:55.190,2020-12-10 07:33:55.190,Bhavnagar_Dc (Gujarat)
1660257072745,BAG321338129,BAG321338129,Kanpur_Sachendi_H (Uttar Pradesh),Kanpur_Central_D_5 (Uttar Pradesh),Complete,,2020-12-10 07:22:31.772,2020-12-10 07:22:31.772,Kanpur_Central_D_5 (Uttar Pradesh)
1660257073611,BAG209046902,BAG209046902,Bangalore_Indirangr_I (Karnataka),Bangalore_AshokNgr_D (Karnataka),Complete,,2020-12-10 07:49:01.732,2020-12-10 07:49:01.732,Bangalore_AshokNgr_D (Karnataka)
1660257077004,BAGL2043355810,BAGL2043355810,Bhiwandi_Mega_GW (Maharashtra),Itanagar_NH52A_D (Arunachal Pradesh),Complete,,2020-12-14 05:36:00.657,2020-12-14 05:36:00.657,Itanagar_NH52A_D (Arunachal Pradesh)
1660257086443,BAG245463373,BAG245463373,Aluva_Peedika_H (Kerala),Irinjlkuda_Pothstherry_D (Kerala),Complete,,2020-12-10 07:51:40.957,2020-12-10 07:51:40.957,Irinjlkuda_Pothstherry_D (Kerala)
1660257052445,BAG321337908,BAG321337908,Moradabad_Majhola_I (Uttar Pradesh),Moradabad_Majhola_D (Uttar Pradesh),Complete,,2020-12-11 15:00:52.967,2020-12-11 15:00:52.967,Moradabad_Majhola_D (Uttar Pradesh)
1660257084870,BAG318547509,BAG318547509,Bhiwandi_Mega_GW (Maharashtra),Mumbai_AndheriWest_D (Maharashtra),Complete,,2020-12-08 12:09:27.055,2020-12-08 12:09:27.055,Mumbai_AndheriWest_D (Maharashtra)
1660257071765,BAG232883942,BAG232883942,Bhiwandi_Mega_R (Maharashtra),-,Complete,,2020-12-19 08:03:06.306,2020-12-19 08:03:06.306,Bhiwandi_Mega_R (Maharashtra)
1660257074182,BAG318547388,BAG318547388,Bhiwandi_Mega_GW (Maharashtra),Kolkata_Naiti_GW (West Bengal),Complete,,2020-12-11 01:32:01.637,2020-12-11 01:32:01.637,Kolkata_Naiti_GW (West Bengal)
1660257079082,BAG318447216,BAG318447216,Bhiwandi_Mega_GW (Maharashtra),Sikar_IndustrialArea_I (Rajasthan),Complete,,2020-12-10 22:32:28.572,2020-12-10 22:32:28.572,Sikar_IndustrialArea_I (Rajasthan)
1660257043931,BAGL2097283795,BAGL2097283795,Bhiwandi_Mega_GW (Maharashtra),Surat_NanaVrachha_D (Gujarat),Complete,,2020-12-09 07:25:25.780,2020-12-09 07:25:25.780,Surat_NanaVrachha_D (Gujarat)
1660257077483,BAGL3438921901,BAGL3438921901,Bhiwandi_Mega_GW (Maharashtra),Singtam_ShilohChrch_D (Sikkim),Complete,,2020-12-12 07:44:54.084,2020-12-12 07:44:54.084,Singtam_ShilohChrch_D (Sikkim)
1660257087622,BAGL1956958636,BAGL1956958636,Bhiwandi_Mega_GW (Maharashtra),Kovvur_Ramarao_D (Andhra Pradesh),Complete,,2020-12-11 07:49:59.591,2020-12-11 07:49:59.591,Kovvur_Ramarao_D (Andhra Pradesh)
1660257084203,BAG243108780,BAG243108780,Ahmedabad_AslaliRoad_GW (Gujarat),Gandhinagar_DC (Gujarat),Complete,,2020-12-10 07:37:48.293,2020-12-10 07:37:48.293,Gandhinagar_DC (Gujarat)
1660257077236,BAG321096185,BAG321096185,Gurgaon_Bilaspur_P (Haryana),Bhiwandi_Mega_R (Maharashtra),Complete,,2020-12-17 12:59:18.884,2020-12-17 12:59:18.884,Bhiwandi_Mega_R (Maharashtra)
1660257073865,BAGL7941583068,BAGL7941583068,Bhiwandi_Mega_GW (Maharashtra),Chandigarh (Chandigarh),Complete,,2020-12-10 19:22:05.446,2020-12-10 19:22:05.446,Chandigarh (Chandigarh)
1660257087666,BAG319665916,BAG319665916,Rajkot_Sokhda_H (Gujarat),Morbi_DC (Gujarat),Complete,,2020-12-10 07:29:36.359,2020-12-10 07:29:36.359,Morbi_DC (Gujarat)
1660257062643,BAG318272049,BAG318272049,Bhiwandi_Mega_GW (Maharashtra),Hanumangarh_DhaanMandi_I (Rajasthan),Complete,,2020-12-12 01:14:44.760,2020-12-12 01:14:44.760,Hanumangarh_DhaanMandi_I (Rajasthan)
