Waybill,Bag,Location,Arrival,Inbound Edge Code,Inbound Edge Name
1660257076072,BAG227738508,siliguri_dabgrm_h,12/15/20 11:19:00,,
1660257076072,BAG227738508,ravangla_hosprd_d,12/15/20 07:49:00,thanos::sroute:1c27447e-2967-49cc-b9d3-e7b3ca0f3dbd,siliguri_dabgrm_h-rangpo-ranipool_d-singtam_shilohchrch_d
1660257076072,BAG227738508,ranipool_nh10_d,12/15/20 05:19:00,thanos::sroute:1c27447e-2967-49cc-b9d3-e7b3ca0f3dbd,siliguri_dabgrm_h-rangpo-ranipool_d-singtam_shilohchrch_d
1660257059191,BAGL1623207132,gangtok_tadong_d,12/11/20 00:20:00,,
1660257059191,BAGL1623207132,siliguri_dabgrm_h,12/10/20 19:50:00,thanos::sroute:72df0881-8617-4646-af50-b628905ae7ab,siliguri_dabgrm_h-gangtok_tadong_d-gangtok_dvlpmnt_d
1660257059191,BAGL1623207132,bhiwandi_mega_gw,12/08/20 05:50:00,thanos::sroute:2a27b19d-611e-44c5-ab2f-f3a00dbb4ded,bhiwandi-siliguri 
1660257086642,BAGL1323074981,vadodara_tandalja_d,12/08/20 12:32:00,,
1660257086642,BAGL1323074981,vadodara_ranoli_i,12/08/20 12:02:00,thanos::sroute:0ab19fd9-8075-4cbb-805a-144756a75da0,vadodara_ranoli_i--vadodara_tandalja_d-jambusar_plazahotel_dpp
1660257086642,BAGL1323074981,surat_gidc_gw,12/08/20 08:02:00,thanos::sroute:f900a44f-8378-41ff-8e40-d457f049224f,surat-vadodra-dcs-surat
1660257086642,BAGL1323074981,vapi_gidc_h,12/08/20 05:02:00,thanos::sroute:2aac8306-d350-4216-b36a-43b894d2ed79,bhiwandi-vapi-surat-vapi-bhiwandi	(nsb)
1660257086642,BAGL1323074981,bhiwandi_mega_gw,12/08/20 01:02:00,thanos::sroute:2aac8306-d350-4216-b36a-43b894d2ed79,bhiwandi-vapi-surat-vapi-bhiwandi	(nsb)
1660257077380,BAGL2923439831,bangalore_horamavu_d,12/09/20 13:53:00,,
1660257077380,BAGL2923439831,bangalore_hebbal_i,12/09/20 13:23:00,thanos::sroute:2a68ee5d-8373-4043-9ae9-a9055e0426a3,bangalore_hebbal_i--bangalore_horamavu_d--bengaluru_newbnswd_dc
1660257077380,BAGL2923439831,bangalore_soukyaroad_gw,12/09/20 11:53:00,thanos::sroute:17bed3ce-cc86-43cb-9476-8bc6d468ee5f,bangalore_soukyaroad_gw (karnataka)-bangalore_hebbal_i (karnataka)
1660257077380,BAGL2923439831,bhiwandi_mega_gw,12/08/20 12:23:00,thanos::sroute:60098888-a8e3-4db3-a3b9-6783f46987c2,bhiwandi-bangalore-pune-bhiwandi
1660257072745,BAG318447138,kanpur_sachendi_h,12/09/20 04:58:00,,
1660257072745,BAG318447138,bhiwandi_mega_gw,12/07/20 20:58:00,thanos::sroute:4aaf0200-4723-468f-83e3-c4b3eb418d15,bhiwandi-kanpur-lucknow-kanpur-indore-aurangabad-bhiwandi
1660257083503,BAG318547795,bangalore_hsr_i,12/09/20 03:08:00,,
1660257083503,BAG318547795,bangalore_soukyaroad_gw,12/09/20 01:38:00,thanos::sroute:5b04b049-45f6-400d-ad7d-a70305022948,bangalore_soukyaroad_gw---bangalore_hsr_i
1660257083503,BAG318547795,bhiwandi_mega_gw,12/08/20 02:08:00,thanos::sroute:60098888-a8e3-4db3-a3b9-6783f46987c2,bhiwandi-bangalore-pune-bhiwandi
1660257077656,BAG318447681,goa_panaji_d,12/08/20 18:08:00,,
1660257077656,BAG318447681,goa_hub,12/08/20 17:23:00,thanos::sroute:61208cc3-7db9-4693-b677-8658d38839f9,goa_hub---goa_panaji_d 
1660257077656,BAG318447681,kolhapur_central_h_2,12/08/20 08:23:00,thanos::sroute:89be2657-e6db-4a07-b055-ceb892f04cef,pune-kolhapur-goa-pune
1660257077656,BAG318447681,bhiwandi_mega_gw,12/07/20 22:23:00,thanos::sroute:7112cdc9-74dd-425c-a005-d3ae7d3205f5,bhiwandi-kolhapur-hubli-dc-bhiwandi
1660257084424,BAG318205686,bhiwandi_mega_gw,12/08/20 05:29:00,,
1660257077553,BAG317471256,bhubaneshwar_pandavngr_d,12/10/20 07:44:00,,
1660257077553,BAG317471256,bhubaneshwar_central_h_6,12/10/20 06:44:00,thanos::sroute:b69d1f83-6535-46f9-afdb-25bdbbdae505,bhubaneshwar_central_h_6--bhubaneshwar_pandavngr_d
1660257078850,BAG319715116,hyderabad_gachibowli_d,12/08/20 22:55:00,,
